key,GenesysCloudPresenceId
Available,6a3af858-942f-489d-9700-5f9bcdcdae9b
Away,5e5c5c66-ea97-4e7f-ac41-6424784829f2
BeRightBack,5e5c5c66-ea97-4e7f-ac41-6424784829f2
Busy,31fe3bac-dea6-44b7-bed7-47f91660a1a0
DoNotDisturb,31fe3bac-dea6-44b7-bed7-47f91660a1a0
Focusing,31fe3bac-dea6-44b7-bed7-47f91660a1a0
InACall,31fe3bac-dea6-44b7-bed7-47f91660a1a0
InAMeeting,31fe3bac-dea6-44b7-bed7-47f91660a1a0
Offline,ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5
OffWork,ccf3c10a-aa2c-4845-8e8d-f59fa48c58e5
Presenting,31fe3bac-dea6-44b7-bed7-47f91660a1a0
